BandID,BandCombo,Age,Sex,d13C,d15N,BodyMass,Tarsus,Stmass
1573-59748,PMGB,AHY,F,-20.3,7.8,110,43.7,2.517162471
1713-58936,PMOV,AHY,M,-20.9,6.9,125,44,2.840909091
1573-59747,NA,AHY,F,-23.3459498,6.222569,115,39.2,2.933673469
1573-59755,NA,AHY,M,-19.4684409,8.316473,108,43,2.511627907
1573-59756,NA,AHY,F,-21,6.174617,116,42,2.761904762
1573-59759,NA,AHY,M,-20.1600708,7.30032,114,43.4,2.626728111
1573-59765,NA,AHY,M,-23.5034447,7.065725,116,41.7,2.78177458
1573-59766,NA,AHY,F,-19.92,6.476315,91,42.1,2.16152019
1643-10101,NA,AHY,M,-20.582868,7.2128179,124,48.2,2.572614108
1643-10106,NA,AHY,M,-20.210969,6.9436791,116,43.5,2.666666667
1643-10112,NA,AHY,M,-16.0938098,8.518272,114,41.8,2.727272727
1643-10131,NA,AHY,F,-16.01771221,7.4859968,101,41,2.463414634
1643-10136,NA,AHY,M,-18.74946084,7.7285187,120,43.4,2.764976959
1713-58901,NA,AHY,M,-17.49469,7.7304678,123,41.4,2.971014493
1713-58902/BC_27,NA,AHY,M,-18.228236,7.8855681,112,44.8,2.5
1713-58903,NA,AHY,F,-16.810479,7.3198756,117,45.4,2.577092511
1713-58905,NA,AHY,M,-16.811987,6.7542189,112,40.9,2.738386308
1713-58906,NA,AHY,M,-19.1060992,8.345819,111,42.4,2.617924528
1713-58907/BC_28,NA,AHY,M,-18.1682479,7.5844296,112,43.4,2.580645161
1713-58908,NA,AHY,M,-17.93954,8.2370293,116,41.7,2.78177458
1713-58909,NA,AHY,F,-16.147258,7.028038,119,42.8,2.780373832
1713-58910,NA,AHY,M,-18.986794,6.7992869,125,47.5,2.631578947
1713-58911,NA,AHY,M,-17.216516,7.2131717,125,42.4,2.948113208
1713-58912,NA,AHY,F,-19.1432,6.9293966,113,38.3,2.950391645
1713-58913,NA,AHY,M,-19.120848,7.2178597,111,39.7,2.795969773
1713-58914,NA,AHY,M,-18.293417,6.4520412,113,40.6,2.783251232
1713-58915,NA,AHY,F,-21.010106,6.4501787,102,36.8,2.77173913
1713-58916,NA,AHY,M,-18.681725,7.2220376,106,42.6,2.488262911
1713-58917,NA,AHY,M,-19.481297,7.1209096,112,42,2.666666667
1713-58920,NA,AHY,M,-21.321368,7.225769,111,41.4,2.68115942
1713-58922,NA,AHY,F,-20.3129028,6.4709619,117,40.4,2.896039604
1713-58925,NA,AHY,M,-25.6862,6.0061318,119,40.3,2.952853598
1713-58927,NA,AHY,M,-25.405685,6.1972625,111,40.1,2.7680798
1713-58929,NA,AHY,F,-17.3792672,8.188601,109,40.5,2.691358025
1713-58936,NA,AHY,M,-18.7404784,8.061728,114,42.8,2.663551402
1713-58940,NA,AHY,M,-17.274894,7.078167,117,43.4,2.695852535
1713-58941,NA,AHY,F,-21.405418,6.8659421,111,42.7,2.599531616
1713-58951,NA,AHY,M,-18.733668,6.8738751,113,41.5,2.722891566
1713-58952,NA,AHY,F,-19.20985742,5.8242629,100,40.2,2.487562189
1713-58954,NA,AHY,M,-21.156215,6.2840281,109,42.8,2.546728972
1713-58957,NA,AHY,M,-19.238336,7.5602513,114,45.1,2.527716186
1713-58959,NA,AHY,M,-16.8428484,8.712077,107,42.3,2.529550827
1713-58990,NA,AHY,F,-16.5453,8.4,108,39.7,2.720403023
1713-59000,NA,AHY,M,-18.68247059,7.2195198,111,44.4,2.5
1713-59048,NA,AHY,F,-17.4402152,8.558871,109,42.7,2.552693208
1713-59051,NA,AHY,M,-18.9134837,7.60019,100,39.1,2.557544757
1713-59056,NA,AHY,M,-21.398706,7.9522105,114,40.4,2.821782178
1713-59060,NA,AHY,M,-19.80623828,7.4172371,102,41.3,2.469733656
1713-59061,NA,AHY,M,-20.75865183,6.9217857,113,45.2,2.5
1713-59063,NA,AHY,F,-23.22055973,7.2455826,117,38.4,3.046875
1713-59064,NA,AHY,F,-20.19940504,7.9,105,42.3,2.482269504
1713-59067/BC_17,NA,AHY,M,-18.41253935,8.5720118,112,43.3,2.586605081
1713-59074,NA,AHY,M,-23.3213198,6.1238226,108,39,2.769230769
1713-59075,NA,AHY,F,-24.67686828,5.7940525,105,37.6,2.792553191
1713-59077,NA,AHY,M,-19.11378883,6.9879849,107,42.2,2.535545024
1713-59081,NA,AHY,M,-19.1846968,6.7827528,107,41.9,2.553699284
1713-59082,NA,AHY,M,-16.9114421,7.9685718,115,41.1,2.798053528
1713-59083,NA,AHY,M,-19.77651359,6.6820544,115,42.5,2.705882353
1713-59086,NA,AHY,M,-20.81409366,6.0013035,110,41.9,2.625298329
1713-69301,NA,AHY,M,-20.25,7.795375,99,42.3,2.340425532
1713-69302,NA,AHY,M,-20.55910366,6.9920387,117,42.3,2.765957447
1713-69304,NA,AHY,M,-16.48571573,7.7065344,121,40.8,2.965686275
BC_1,NA,AHY,M,-24.15893697,9.0803601,107,43.7,2.448512586
BC_10,NA,AHY,M,-24.99128059,8.0077953,115,44.9,2.561247216
BC_11,NA,AHY,M,-23.44976307,8.5243259,110,42.8,2.570093458
BC_12,NA,AHY,M,-18.14811704,7.8024052,115,46.2,2.489177489
BC_13,NA,AHY,F,-19.0808873,6.5189421,102,41,2.487804878
BC_14,NA,AHY,F,-19.39072052,6.646725,103,43.3,2.378752887
BC_15,NA,AHY,M,-20.43917328,7.3023238,114,44.4,2.567567568
BC_16,NA,AHY,M,-18.36764459,7.5329261,113,43.7,2.585812357
BC_18,NA,AHY,M,-19.03280452,8.2846067,105,43.1,2.436194896
BC_19,NA,AHY,F,-19.15776911,8.5222487,106,41.5,2.554216867
BC_2,NA,AHY,F,-24.55835769,7.9563077,102,40.9,2.493887531
BC_20,NA,AHY,F,-20.04872173,7.0527056,108,42.8,2.523364486
BC_22,NA,AHY,F,-20.29378318,6.3714326,104,40.2,2.587064677
BC_23,NA,AHY,M,-19.55040711,7.1785661,99,40.3,2.456575682
BC_24,NA,AHY,M,-21.5404559,6.0238077,114,41.5,2.746987952
BC_25,NA,AHY,M,-22.37648514,7.3463296,113,41.6,2.716346154
BC_26,NA,AHY,M,-21.88330455,6.9378508,108,42.5,2.541176471
BC_29,NA,AHY,M,-20.90003173,7.4446557,114,44.3,2.573363431
BC_3,NA,AHY,M,-24.8868509,8.2906412,103,45.3,2.273730684
BC_31,NA,AHY,M,-23.1947684,9.6195748,114,44.5,2.561797753
BC_32,NA,AHY,M,-24.5136678,6.95531,110,42.7,2.576112412
BC_33,NA,AHY,M,-24.1773366,7.8151046,117,43,2.720930233
BC_34,NA,AHY,M,-23.4490676,8.0517728,108,46.9,2.302771855
BC_35,NA,AHY,M,-24.0161138,8.0577644,113,45.3,2.494481236
BC_36,NA,AHY,M,-20.137017,8.2764578,115,43.4,2.649769585
BC_37,NA,AHY,M,-20.2932068,6.9968126,94,40.9,2.298288509
BC_38,NA,AHY,M,-20.9712312,7.328385,112,42.3,2.647754137
BC_39,NA,AHY,M,-20.8012498,8.5670504,112,40.7,2.751842752
BC_4,NA,AHY,M,-23.66950903,8.8169244,105,46.2,2.272727273
BC_40,NA,AHY,M,-20.0691142,8.1340966,117,43.3,2.702078522
BC_42,NA,AHY,F,-21.7694624,6.8334808,112,44.6,2.511210762
BC_43,NA,AHY,M,-23.1455689,6.3315276,112,44.7,2.505592841
BC_44,NA,AHY,M,-21.7285248,6.3265336,119,42.7,2.786885246
BC_45,NA,AHY,M,-21.5996837,6.0230996,101,42.5,2.376470588
BC_46,NA,AHY,M,-20.4274987,5.9050706,114,41,2.780487805
BC_5,NA,AHY,M,-24.83034579,6.6088792,111,45.8,2.423580786
BC_6,NA,AHY,M,-23.99146231,7.4325584,102,43.9,2.323462415
BC_7,NA,AHY,M,-23.48905521,5.7450714,119,46.7,2.548179872
BC_8,NA,AHY,M,-23.79845207,5.1585604,112,44,2.545454545
