BandID,Age,d13C,d15N
1713-44471,AHY,-23.1,6.6
1713-44488,AHY,-20.3,7.1
1643-06465,HY,-22.4,5
1713-44483,AHY,-22,5.8
1643-06466,HY,-22.4,3.9
1643-06467,HY,-22.4,5.3
1643-06469,AHY,-21.2,7.1
1713-44406,AHY,-22.4,6
1713-58970,AHY,-22.8,6.6
1713-59098,AHY,-19.2,7.6
1643-06470,HY,-21.9,4.9
1713-44409,AHY,-20.9,6.5
1713-44416,AHY,-21.5,5.7
1713-44421,AHY,-21.3,6.5
1573-59794,AHY,-21.6,5.8
1713-44413,AHY,-21.8,6.6
1713-44491,AHY,-22.7,6.7
1643-06472,AHY,-22.5,4.7
1643-06473,HY,-22.3,5.6
1643-06474,HY,-22.5,5.2
1643-06475,HY,-22.5,5.2
1413-06223,HY,-23.2,5.1
1413-06224,HY,-22.3,5.4
1643-06479,AHY,-22.1,6.3
1643-06480,HY,-22.9,4.5
1543-06481,AHY,-21.3,6.6
1713-44427,AHY,-21.5,8.2
1713-44479,AHY,-21.4,6.7
1713-44462,AHY,-21.9,6.2
1573-59936,AHY,-22.4,5.6
1643-06482,HY,-22.7,4.4
1713-44413,AHY,-21.4,7.4
1713-44433,AHY,-22.1,6.2
1413-06220,AHY,-21.8,6.9
1643-06484,HY,-22.6,3.8
1643-06486,AHY,-21.7,7.5
1413-06215,AHY,-21.5,6.5
1643-06487,HY,-22.3,3.9
1643-06488,HY,-22.3,5.1
1713-44401,AHY,-20.5,7.7
1713-44402,AHY,-20,7.7
1713-44405,AHY,-20.8,7.7
1643-06490,HY,-22.9,5.2
1713-44475,AHY,-20.8,6.8
1713-58932,AHY,-21.4,6.6
1713-58970,AHY,-20.7,7.9
1643-06489,AHY,-21.6,6.1
1643-06491,HY,-22.6,4.6
1713-44412,AHY,-22.1,6.8
1713-44421,AHY,-21.2,6.8
1643-06476,HY,-21.7,5.6
1643-06492,HY,-22.8,4.8
1643-06493,HY,-22.8,4.7
1643-06494,HY,-22.9,5.9
1713-44406,AHY,-21.9,6.1
1713-44416,AHY,-21.7,6.2
1643-06495,HY,-23.1,5.1
1643-06496,HY,-21.4,5.4
1713-44419,AHY,-21.7,6.6
1713-44440,AHY,-23,6
1573-59748,AHY,-20.3,7.8
1643-06498,HY,-22.5,5.2
1713-58936,AHY,-20.9,6.9
1643-06477,HY,-22.1,5.6
1643-06478,HY,-22.1,5.4
1573-59747,AHY,-23.3459498,6.222569
1573-59759,AHY,-20.1600708,7.30032
1573-59765,AHY,-23.5034447,7.065725
1573-59766,AHY,-19.92,6.476315
BC_10,AHY,-24.99128059,8.0077953
BC_11,AHY,-23.44976307,8.5243259
BC_13,AHY,-19.0808873,6.5189421
BC_14,AHY,-19.39072052,6.646725
BC_16,AHY,-18.36764459,7.5329261
BC_17,AHY,-18.41253935,8.5720118
BC_18,AHY,-19.03280452,8.2846067
BC_19,AHY,-19.15776911,8.5222487
BC_20,AHY,-20.04872173,7.0527056
BC_22,AHY,-20.29378318,6.3714326
BC_23,AHY,-19.55040711,7.1785661
BC_24,AHY,-21.5404559,6.0238077
BC_25,AHY,-22.37648514,7.3463296
BC_26,AHY,-21.88330455,6.9378508
BC_27,AHY,-18.228236,7.8855681
BC_28,AHY,-18.1682479,7.5844296
BC_29,AHY,-20.90003173,7.4446557
BC_3,AHY,-24.8868509,8.2906412
BC_32,AHY,-24.5136678,6.95531
BC_34,AHY,-23.4490676,8.0517728
BC_35,AHY,-24.0161138,8.0577644
BC_36,AHY,-20.137017,8.2764578
BC_37,AHY,-20.2932068,6.9968126
BC_38,AHY,-20.9712312,7.328385
BC_39,AHY,-20.8012498,8.5670504
BC_4,AHY,-23.66950903,8.8169244
BC_40,AHY,-20.0691142,8.1340966
BC_42,AHY,-21.7694624,6.8334808
BC_43,AHY,-23.1455689,6.3315276
BC_44,AHY,-21.7285248,6.3265336
BC_46,AHY,-20.4274987,5.9050706
BC_6,AHY,-23.99146231,7.4325584
BC_7,AHY,-23.48905521,5.7450714
BC_8,AHY,-23.79845207,5.1585604
